"Algorithm","Run","Seed","Status","OptimizationRuntimeSeconds","EvaluationRuntimeSeconds","TotalRuntimeSeconds"
"HHO","29","20260558","ok","32.6911955","0.0111503","32.7023489"
"HHO","30","20260559","ok","33.4539918","0.0122447","33.4662396"
"EVO","1","20260530","ok","29.1693156","0.0125821","29.181901"
"EVO","2","20260531","ok","15.9230502","0.0109541","15.934008"
"EVO","3","20260532","ok","15.5165926","0.0227944","15.5393902"
"EVO","4","20260533","ok","15.0349308","0.0124542","15.0473883"
"EVO","5","20260534","ok","23.6826345","0.0123495","23.6949881"
"EVO","6","20260535","ok","30.1833464","0.0122647","30.1956145"
"EVO","7","20260536","ok","29.5078615","0.0118773","29.519742"
"EVO","8","20260537","ok","15.5703046","0.0104372","15.5807446"
"EVO","9","20260538","ok","29.3677146","0.0124307","29.3801483"
"EVO","10","20260539","ok","15.8692435","0.0117642","15.8810106"
"EVO","11","20260540","ok","30.025377","0.0123338","30.0377141"
"EVO","12","20260541","ok","15.6553435","0.0119303","15.6672768"
"EVO","13","20260542","ok","16.2374413","0.0121467","16.2495915"
"EVO","14","20260543","ok","30.4593049","0.019753","30.4790659"
"EVO","15","20260544","ok","19.3935995","0.0113258","19.4049285"
"EVO","16","20260545","ok","28.5936829","0.0118096","28.6054957"
"EVO","17","20260546","ok","29.9075816","0.0129168","29.9205009"
"EVO","18","20260547","ok","14.8343235","0.0118169","14.8461431"
"EVO","19","20260548","ok","15.7659373","0.0136476","15.7795882"
"EVO","20","20260549","ok","14.8137015","0.0144424","14.8281473"
"EVO","21","20260550","ok","15.6408447","0.0104543","15.6513023"
"EVO","22","20260551","ok","14.557476","0.0120858","14.5695656"
"EVO","23","20260552","ok","26.4429276","0.0108836","26.4538157"
"EVO","24","20260553","ok","26.7119091","0.0111525","26.7230646"
"EVO","25","20260554","ok","13.0453567","0.0094609","13.0548207"
"EVO","26","20260555","ok","25.4594038","0.0095616","25.4689678"
"EVO","27","20260556","ok","25.6014337","0.0102439","25.6116815"
"EVO","28","20260557","ok","13.9412246","0.01091","13.9521373"
"EVO","29","20260558","ok","13.8853475","0.0111601","13.8965114"
"EVO","30","20260559","ok","13.6119333","0.0111122","13.6230491"
